"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1840 hourly","$0.1159 hourly","$0.0576 hourly","unavailable","unavailable"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1887 hourly","$0.1246 hourly","$0.0449 hourly","unavailable","unavailable"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.1888 hourly","$0.1189 hourly","$0.0619 hourly","$0.2624 hourly","$0.1925 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1990 hourly","$0.1300 hourly","$0.0350 hourly","$0.2910 hourly","$0.2220 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.1998 hourly","$0.1320 hourly","$0.0745 hourly","$0.3838 hourly","$0.3160 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.2000 hourly","$0.1260 hourly","$0.0883 hourly","$0.3840 hourly","$0.3100 hourly"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","Up to 10 Gigabit","$0.2020 hourly","$0.1270 hourly","$0.0948 hourly","$0.3860 hourly","$0.3110 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.2020 hourly","$0.1333 hourly","$0.0710 hourly","$0.3860 hourly","$0.3174 hourly"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 25 Gigabit","$0.2050 hourly","$0.1291 hourly","$0.0491 hourly","unavailable","unavailable"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.2096 hourly","$0.1320 hourly","$0.0726 hourly","unavailable","unavailable"
